0,857,10135,11297,2673,1958,9872,10091,6002,3240,6070,6450,9564,4886,3684,152,289,3619,9526,4760,10583,6800,9206,7649,6820,10114,2828,2975,10717,4316,2384,7785,8619,1803,5157,3108,1792,3234,2158,1544,8660,6489,4390,6300,3497,1136,8852,6296,10893,3623,366,7465,1797,5438,4367,11391,6678,8795,175,9690,10746,6944,10086,7525,5761,7008,4619,3115,5629,5695,7047,6453,1513,3698,10395,750,1766,9465,11999,10858,11310,2406,8595,8183,7103,5862,1124,2986,683,3161,7200,8151,9052,746,5170,4510,6946,9409,6886,3151,273,3091,419,11781,8884,10569,7031,1495,5403,1150,4642,6958,11294,3787,6164,6540,6175,6519,3294,11249,10739,5067,9926,5682,3456,6271,5994,2207,8957,5765,5915,4358,9877,6433,6224,10330,4118,10860,5472,10762,4908,1146,10591,5442,4822,1106,1037,12004,4982,2086,6665,8750,7006,9345,3011,84,733,700,2477,3220
857,0,10217,10025,3346,4875,7993,10513,4065,7713,11752,5393,10040,2017,5775,2558,5895,1198,4996,678,10955,3295,8893,11829,4048,2886,958,6975,10671,8516,4309,3866,12258,6190,7433,4499,6567,1292,278,7989,10572,8172,1785,6698,3831,514,10653,8063,10562,183,10009,8818,4699,9018,7381,12029,7486,5951,1665,9268,10587,10295,10106,8000,6616,10652,6131,3802,6157,6428,10599,10505,10259,1655,11986,1767,2958,5237,11025,3928,10961,5861,8360,7895,1807,11745,3656,12074,7002,9919,6615,9711,11344,3329,4698,5732,1380,11529,4609,6315,351,2408,2489,9347,9142,10153,10529,287,6967,158,7398,11248,3280,3404,12,12261,5832,10192,6965,11300,8388,5525,6414,5092,5184,10216,10484,1315,4314,6956,5968,6548,5561,7127,7428,12410,574,7307,12262,9902,7046,4143,7074,3827,7984,4506,5880,11120,5712,3934,2625,3447,4406,2326,2155,1393,7872,6575,6267,1522
10135,10217,0,9721,9642,9617,410,42,9649,4399,10545,3499,7153,10538,4016,296,4805,3528,654,6268,4799,10449,111,2909,4487,5283,11977,503,7269,3580,2868,10834,11959,1271,10423,10318,2694,11702,10283,554,3444,3513,7126,11692,1612,3690,5218,9567,10721,6087,4320,826,6377,9312,12114,9666,2252,4242,7233,129,8959,3990,8569,11222,2701,11429,11706,4889,5051,8195,200,243,8430,10828,106,11834,11818,3527,7261,12056,9397,9433,929,9924,4437,3503,11207,1324,6521,8909,12057,11860,6198,10584,12689,951,5270,7592,10758,7471,9442,7765,5771,4868,473,5441,9778,8284,5109,1089,3422,9855,2121,5377,12406,8710,7835,2398,3043,8006,10559,8226,6663,775,9966,11407,798,2333,3876,2946,5826,8746,4687,4445,5347,10329,11675,8576,6484,11008,5816,836,8481,8724,253,10822,9540,10972,9742,3957,5838,6336,10752,10200,2265,3587,3319,7945,9988,6353
11297,10025,9721,0,4178,2152,2275,7810,11824,3849,10046,3144,586,10221,5106,8762,8486,3515,8598,7671,2291,9081,1348,8337,6585,6034,4884,5991,4770,14,5197,9451,9095,9892,926,2667,4786,3942,2339,7021,2323,7721,12215,4388,8123,10588,1423,8706,1331,1384,5301,7348,6135,617,12562,10328,1282,7101,10440,9598,392,8590,9581,10854,7164,6147,7813,5854,5275,4747,5579,9634,7108,1714,11299,8815,11262,5855,1125,11403,1692,3135,6968,301,130,6105,4990,12483,11633,11133,1396,4528,9590,10319,5807,2963,6442,3040,252,7814,8525,4092,4419,8997,5081,3662,3467,3317,7588,1643,12670,8478,2407,95,4029,3900,4068,2873,1322,1062,5558,4154,6411,11583,965,9807,9448,1568,1189,7724,5827,343,3064,6068,3740,7447,7773,10705,8952,4936,3997,7094,142,3840,3837,4734,5620,3653,8767,3677,11151,7518,10567,10385,8572,11724,10844,6178,9371,4728
2673,3346,9642,4178,0,6772,8251,9233,10824,8423,10890,9406,3633,7750,5413,5182,3002,999,8829,8048,5901,6028,723,12115,6130,380,3079,11349,7866,4690,3734,10864,3964,9187,3728,8001,2377,5070,386,1772,5023,11642,6020,6755,1065,8305,7337,9071,2134,107,2572,3334,3701,2745,12288,2728,7612,8247,4553,11230,9920,11722,9578,12276,3803,7027,1707,2027,8728,913,3505,2237,573,1723,7679,2231,7809,1186,10933,12700,8511,2798,6626,1101,8237,9669,1570,7806,11847,6893,7734,2937,4731,1843,5482,8204,6351,3892,3616,9398,1437,4913,1874,9683,10556,4876,1039,1822,7682,659,10263,7174,4233,3427,4531,11925,7656,6649,657,7405,5279,6516,10453,11720,163,10863,3464,3953,6233,6302,7778,5320,5297,2753,6558,9102,6102,11707,11225,5801,7759,4994,4271,5245,10105,1646,7646,2172,9162,4364,12310,5484,8053,10019,1976,5583,4371,57,6858,4188
1958,4875,9617,2152,6772,0,4679,7244,3146,862,10079,5757,7960,1611,4970,3666,505,5888,8867,3944,328,6324,7024,7167,1079,1836,2577,436,795,161,1561,7746,12254,879,1746,167,4264,3757,2780,5934,6003,3157,5054,6040,9756,2842,8015,2735,2399,2245,5634,6205,5394,3282,6764,12088,4790,9341,8646,9967,2947,4525,12219,8126,4520,7733,9573,1002,495,4500,6986,4443,11281,119,11389,8488,6971,8725,7273,4759,12395,3612,11320,2349,3036,1504,3414,9516,7343,4979,6641,7962,7540,11127,813,1193,3547,6361,245,9334,4851,4490,249,11427,9517,2954,7443,2548,7187,3042,12627,2332,6285,367,5926,4192,4712,2562,2827,10113,12191,2544,2961,9816,2666,9306,10407,728,4138,345,535,6603,8838,2215,2411,4256,4018,6432,4991,1293,388,7109,4808,6507,9852,1881,5936,10850,5212,3736,2330,9307,7587,4071,9914,1060,9199,6998,10602,1123
9872,7993,410,2275,8251,4679,0,4,9998,3686,6312,5887,3793,8584,429,1851,3437,6686,275,4618,2459,1644,1962,305,1914,6624,11732,238,2631,3083,730,5057,11687,9076,1131,3531,645,9595,9277,584,4109,963,7032,7431,1121,3031,7170,6448,5731,1887,6983,478,8992,4133,10195,8192,7990,2571,4959,45,3099,4984,8951,5763,1456,11369,7740,2369,5462,3249,2500,1128,10441,9936,333,8886,12224,1630,2344,5873,3126,3173,4656,7451,2659,4291,8578,7199,8580,8257,3875,6669,4412,11060,10654,2608,2740,2130,8165,8254,4706,8124,4466,4149,304,2105,6290,5705,1817,2733,10074,12568,1831,1895,9654,7589,9782,689,825,2970,1747,6798,99,4627,3821,9705,3367,1379,849,1995,5646,6000,1226,5554,560,7147,11856,4830,5185,5447,63,5830,2863,9210,756,9381,11446,10312,1411,2213,2208,4583,7210,2751,2087,9027,2949,8203,9568,2916
10091,10513,42,7810,9233,7244,4,0,9947,1633,11459,8215,6977,8485,2343,641,7458,5551,261,5902,2775,8956,623,1648,652,9701,12070,602,9663,5840,87,7882,12229,5113,3748,10280,4000,10973,11637,138,4738,4244,9456,10944,7831,5513,7106,9404,11356,3578,6235,1222,7828,11100,4777,11302,6051,5842,8175,3,5615,7658,11599,7313,7044,12331,9660,8447,2588,10149,2244,621,8872,11616,595,10669,12071,3526,7075,6830,6709,7229,2012,9945,6571,10367,11577,1034,9466,11799,11208,12148,8401,12432,12030,2427,7535,4431,11664,9986,2761,8850,6891,5782,363,9702,9285,10775,1808,1657,6545,12255,3177,8164,12422,9365,10914,1575,2499,4032,8414,10041,4298,2303,9399,11163,272,2702,615,4113,8519,7669,5963,8069,1448,7386,12019,6703,8092,10268,3355,4832,6533,10392,462,12268,12266,11980,2259,3519,1382,5138,11769,4106,7479,6926,6263,4925,12284,5611
6002,4065,9649,11824,10824,3146,9998,9947,0,206,10002,1778,6225,402,491,8319,2797,9508,3106,2008,7163,2664,11058,11524,2978,1573,7456,5183,5131,6106,5295,12453,12184,2051,8059,3190,4148,4948,4545,11258,12285,8754,1520,6612,11560,827,8437,1096,12013,10999,10387,11770,7497,10375,3796,12161,3004,4157,10021,11113,8666,8987,10892,407,6658,11503,7056,766,1278,3758,9432,2363,10196,9331,7207,6389,1572,6084,1560,8371,12577,3558,7675,6334,3035,9577,5042,10020,5477,781,11943,12101,12672,11638,8009,7668,9694,4187,7753,10250,8723,6633,9468,11461,7576,4987,4541,10674,9594,2540,10231,6197,12431,9219,8801,11010,9572,11558,9123,5604,12152,4950,4279,9546,11020,5608,12210,9173,7653,1943,11048,10659,7987,1361,11377,11957,815,8564,5032,5871,3766,10501,10710,2616,7996,237,3703,12687,6699,2372,3410,8671,4075,6140,5752,3286,9813,7802,11941,1030
3240,7713,4399,3849,8423,862,3686,1633,206,0,3559,3961,1706,2120,404,3382,1139,8390,1141,785,1405,6449,3620,4095,4456,5391,7364,471,3056,1016,1023,10322,8140,359,319,5498,4764,4532,4969,5718,9090,4544,6536,6508,9344,2358,754,3729,5440,5356,2082,11154,3214,4100,930,10985,1640,3918,4076,3676,1954,4326,9038,2907,5911,4864,1686,3598,946,4703,1884,247,2685,6248,4236,1176,6806,1965,344,5303,10234,499,8242,2994,578,6257,5921,2604,3769,829,10163,11513,11358,7460,7942,1055,3080,1841,6114,9420,3223,4796,5021,5080,72,3371,4831,6749,1091,672,10920,1223,9930,7630,9739,3879,10590,3872,2705,2267,8499,3644,5383,8039,6608,1967,8404,2884,4040,2412,2917,5198,7918,2833,7906,3185,1182,10926,3277,8097,2239,6022,8995,74,607,792,6906,9322,4286,483,1594,5248,7767,6539,3659,2392,7772,4612,11481,144
